Time (s),Position (m)
7.710000,43.931195
7.720000,43.844968
7.730000,43.758371
7.740000,43.671402
7.750000,43.584063
7.760000,43.496352
7.770000,43.408271
7.780000,43.319818
7.790000,43.230995
7.800000,43.141800
7.810000,43.052235
7.820000,42.962298
7.830000,42.871991
7.840000,42.781312
7.850000,42.690263
7.860000,42.598842
7.870000,42.507051
7.880000,42.414888
7.890000,42.322355
7.900000,42.229450
7.910000,42.136175
7.920000,42.042528
7.930000,41.948511
7.940000,41.854122
7.950000,41.759363
7.960000,41.664232
7.970000,41.568731
7.980000,41.472858
7.990000,41.376615
8.000000,41.280000
8.010000,41.183015
8.020000,41.085658
8.030000,40.987931
8.040000,40.889832
8.050000,40.791363
8.060000,40.692522
8.070000,40.593311
8.080000,40.493728
8.090000,40.393775
8.100000,40.293450
8.110000,40.192755
8.120000,40.091688
8.130000,39.990251
8.140000,39.888442
8.150000,39.786263
8.160000,39.683712
8.170000,39.580791
8.180000,39.477498
8.190000,39.373835
8.200000,39.269800
8.210000,39.165395
8.220000,39.060618
8.230000,38.955471
8.240000,38.849952
8.250000,38.744063
8.260000,38.637802
8.270000,38.531171
8.280000,38.424168
8.290000,38.316795
8.300000,38.209050
8.310000,38.100935
8.320000,37.992448
8.330000,37.883591
8.340000,37.774362
8.350000,37.664763
8.360000,37.554792
8.370000,37.444451
8.380000,37.333738
8.390000,37.222655
8.400000,37.111200
8.410000,36.999375
8.420000,36.887178
8.430000,36.774611
8.440000,36.661672
8.450000,36.548363
8.460000,36.434682
8.470000,36.320631
8.480000,36.206208
8.490000,36.091415
8.500000,35.976250
8.510000,35.860715
8.520000,35.744808
8.530000,35.628531
8.540000,35.511882
8.550000,35.394863
8.560000,35.277472
8.570000,35.159711
8.580000,35.041578
8.590000,34.923075
8.600000,34.804200
8.610000,34.684955
8.620000,34.565338
8.630000,34.445351
8.640000,34.324992
8.650000,34.204263
8.660000,34.083162
8.670000,33.961691
8.680000,33.839848
8.690000,33.717635
8.700000,33.595050
8.710000,33.472095
8.720000,33.348768
8.730000,33.225071
8.740000,33.101002
8.750000,32.976563
8.760000,32.851752
8.770000,32.726571
8.780000,32.601018
8.790000,32.475095
8.800000,32.348800
8.810000,32.222135
8.820000,32.095098
8.830000,31.967691
8.840000,31.839912
